Id,Title,Score,Accuracy_Score
688245,Is there a better Python bundle for textmate than the one in the bundle repository?,17,-17.0
183042,How can I use UUIDs in SQLAlchemy?,26,-15.0
688766,Getting 401 on Twitter OAuth POST requests,6,-1.5
284115,Cross platform hidden file detection,13,-1.0
336753,Django FormWizard and Admin application,3,-1.0
304256,What's the best way to find the inverse of datetime.isocalendar()?,36,-0.5
51658,Cross-platform space remaining on volume using python,56,-0.3333333333333333
657868,How do I find the modules that are available for import from within a package?,2,-0.25
17250,Create an encrypted ZIP file in Python,24,0.0
116894,Best practices for manipulating database result sets in Python?,3,0.0
118467,How do I create a non-standard type with SOAPpy?,2,0.0
128689,Doing CRUD in Turbogears,3,0.0
196771,What is the best way to escape Python strings in PHP?,2,0.0
204570,Any experience with the Deliverance system?,0,0.0
246123,HTTP compliance testing,1,0.0
